
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-6-11,32,23,15,-1,-7,-9,22,15,7,1021,1011,1008,16,16,16,50,11,64,0.00,3,,195<br />
2012-6-12,33,27,20,8,2,-3,41,26,10,1014,1010,1007,16,16,13,56,23,69,0.00,3,,130<br />
2012-6-13,34,27,18,12,0,-10,58,32,6,1017,1006,1002,16,16,14,37,15,40,0.00,2,,171<br />
2012-6-14,35,26,17,-7,-11,-17,13,8,3,1008,1005,1003,16,16,16,34,11,40,0.00,0,,190<br />
2012-6-15,34,26,17,-4,-8,-12,17,11,5,1016,1007,1004,16,16,16,29,9,39,0.00,2,,195<br />
2012-6-16,32,26,19,8,3,-5,42,26,9,1019,1012,1007,16,15,10,40,16,52,0.00,4,,155<br />
2012-6-17,36,27,17,9,2,-9,52,29,5,1024,1010,1004,16,16,14,37,10,45,0.00,1,,341<br />
2012-6-18,37,27,17,-5,-9,-16,19,11,3,1007,1004,1001,16,16,16,42,15,53,0.00,0,,280<br />
2012-6-19,35,28,20,-8,-10,-14,14,9,4,1014,1003,999,16,16,16,32,9,42,0.00,0,,213<br />
2012-6-20,38,28,17,5,-11,-17,23,13,3,1016,1005,1001,16,16,14,45,12,52,0.00,0,,38<br />
2012-6-21,34,28,22,13,10,6,57,39,20,1021,1012,1007,16,14,5,69,32,85,10.41,3,Rain-Thunderstorm,113<br />
2012-6-22,36,27,19,12,8,-1,55,33,10,1013,1009,1005,16,16,16,34,14,45,0.00,2,,181<br />
2012-6-23,36,29,22,9,6,1,41,27,12,1019,1008,1005,16,16,16,29,12,37,0.00,2,,189<br />
2012-6-24,36,29,21,6,2,-7,35,21,7,1021,1010,1007,16,16,16,35,13,42,0.00,3,,173<br />
2012-6-25,36,29,21,3,-1,-5,25,16,7,1017,1011,1007,16,16,16,32,11,39,0.00,1,,184<br />
2012-6-26,36,29,22,3,-1,-4,22,15,8,1020,1009,1005,16,16,16,35,13,50,0.00,2,,196<br />
2012-6-27,37,29,21,6,2,-7,31,19,6,1018,1010,1007,16,16,16,35,11,48,0.00,2,,270<br />
2012-6-28,37,28,19,7,3,-2,35,22,9,1015,1012,1009,16,16,13,34,11,39,0.00,2,,313<br />
2012-6-29,37,30,23,8,3,-1,31,21,10,1021,1010,1006,16,16,16,42,10,58,0.00,3,,308<br />
2012-6-30,38,31,24,4,2,-3,24,16,7,1018,1007,1003,16,16,16,45,14,52,0.00,3,,56<br />
2012-7-1,37,30,23,8,6,1,33,22,11,1018,1009,1004,16,16,16,58,16,69,T,4,Rain-Thunderstorm,129<br />
2012-7-2,36,29,21,15,9,4,41,28,14,1020,1009,1004,16,16,13,42,11,52,2.79,5,Rain-Thunderstorm,182<br />
2012-7-3,34,27,20,15,11,7,66,43,20,1020,1009,1004,16,16,16,47,12,53,0.00,4,Thunderstorm,224<br />
2012-7-4,34,28,21,17,12,8,68,46,23,1017,1009,1004,16,16,10,69,15,85,1.02,7,Rain-Thunderstorm,180<br />
2012-7-5,32,25,18,16,14,11,87,58,29,1021,1013,1008,16,15,5,48,11,60,1.27,5,Rain-Thunderstorm,218<br />
2012-7-6,29,23,17,15,13,11,84,59,34,1021,1015,1012,16,16,14,40,9,50,T,6,Rain-Thunderstorm,175<br />
2012-7-7,28,23,18,15,13,11,68,52,36,1026,1018,1015,16,16,11,56,11,64,2.03,4,Rain-Thunderstorm,99<br />
2012-7-8,31,24,18,15,12,6,78,50,21,1026,1017,1013,16,16,16,24,10,35,0.00,5,,237<br />
2012-7-9,32,26,19,17,12,9,78,52,26,1025,1017,1012,16,15,6,50,25,61,2.29,4,Rain-Thunderstorm,92<br />
2012-7-10,30,24,19,14,12,10,73,52,31,1026,1017,1013,16,16,16,35,15,45,0.00,5,,110<br />
2012-7-11,31,25,19,14,12,9,68,49,29,1026,1016,1012,16,16,16,34,11,45,0.00,4,,60<br />
2012-7-12,33,26,19,14,11,8,68,46,23,1020,1014,1010,16,16,11,29,6,40,0.25,3,Rain-Thunderstorm,359<br />
2012-7-13,33,27,21,13,9,6,50,35,20,1015,1013,1010,16,16,16,40,10,50,0.00,4,,171<br />
2012-7-14,34,28,23,8,6,3,35,25,14,1023,1013,1010,16,16,16,34,13,45,0.00,6,,194<br />
2012-7-15,34,27,20,9,6,1,38,26,13,1023,1012,1008,16,16,16,29,15,42,0.00,4,,190<br />
2012-7-16,33,27,21,10,8,4,47,32,17,1018,1010,1007,16,16,6,63,11,82,T,4,,281<br />
2012-7-17,34,27,19,11,7,4,52,35,17,1017,1010,1007,16,16,16,34,11,47,0.00,4,,40<br />
2012-7-18,34,27,20,16,11,7,58,40,21,1024,1013,1009,16,16,10,48,14,63,2.79,4,Rain-Thunderstorm,75<br />
2012-7-19,34,27,20,16,11,6,73,46,18,1025,1015,1012,16,16,16,37,16,50,0.00,2,,147<br />
2012-7-20,34,28,21,11,8,5,51,34,16,1026,1016,1012,16,16,16,37,10,45,0.00,1,,131<br />
2012-7-21,33,27,21,12,9,5,49,34,19,1017,1015,1011,16,16,16,34,11,42,T,3,,167<br />
2012-7-22,33,27,22,11,9,6,49,34,18,1025,1015,1012,16,16,16,52,10,64,T,5,,350<br />
2012-7-23,34,27,19,14,11,6,66,44,21,1024,1016,1012,16,16,16,53,10,61,6.35,4,Rain-Thunderstorm,173<br />
2012-7-24,32,25,17,14,12,8,73,48,23,1019,1013,1009,16,16,16,53,11,63,T,4,Rain-Thunderstorm,258<br />
