
MST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
2012-4-28,33,26,18,6,1,-7,44,26,8,1009,1006,1002,16,16,16,24,9,32,0.00,1,,106<br />
2012-4-29,34,27,19,5,1,-4,37,23,9,1009,1007,1004,16,16,16,24,9,34,0.00,1,,272<br />
2012-4-30,35,28,21,6,4,1,35,24,13,1012,1009,1006,16,16,16,26,11,34,0.00,0,,274<br />
2012-5-1,34,28,21,4,1,-1,33,22,11,1011,1007,1004,16,16,16,21,9,35,0.00,3,,299<br />
2012-5-2,35,28,22,4,2,-2,27,19,10,1009,1007,1005,16,16,16,32,13,48,0.00,4,,193<br />
2012-5-3,36,28,20,5,1,-2,31,20,9,1012,1010,1008,16,16,16,26,10,35,0.00,2,,179<br />
2012-5-4,36,28,20,3,-1,-6,31,20,8,1013,1010,1009,16,16,16,29,9,37,0.00,1,,113<br />
2012-5-5,34,27,20,2,-2,-9,27,18,8,1011,1009,1007,16,16,16,29,11,34,0.00,4,,346<br />
2012-5-6,33,27,19,1,-4,-8,25,16,7,1010,1008,1006,16,16,16,27,10,35,0.00,3,,8<br />
2012-5-7,33,27,20,-4,-9,-19,19,11,3,1011,1008,1005,16,16,16,40,15,48,0.00,2,,214<br />
2012-5-8,33,26,19,0,-11,-18,18,11,3,1011,1007,1005,16,16,8,34,12,40,0.00,5,,359<br />
2012-5-9,35,28,20,13,6,-1,53,34,15,1013,1009,1005,16,14,1,71,17,87,0.76,5,Rain-Thunderstorm,105<br />
2012-5-10,34,26,17,12,7,1,67,41,14,1011,1007,1003,16,16,16,29,10,35,0.00,1,,201<br />
2012-5-11,37,29,22,9,-1,-9,44,25,5,1009,1007,1005,16,16,16,34,11,40,0.00,0,,200<br />
2012-5-12,37,29,21,1,-6,-13,26,15,4,1014,1011,1009,16,16,16,19,8,27,0.00,1,,90<br />
2012-5-13,39,31,22,0,-4,-7,20,13,5,1012,1010,1006,16,16,16,29,12,34,0.00,2,,196<br />
2012-5-14,39,31,23,1,-6,-11,15,10,4,1012,1009,1006,16,16,16,26,7,35,0.00,3,,95<br />
2012-5-15,41,33,26,4,-2,-7,19,12,5,1009,1006,1003,16,16,16,37,16,48,0.00,1,,117<br />
2012-5-16,41,33,26,1,-4,-12,17,10,3,1008,1006,1004,16,16,16,32,14,42,0.00,0,,182<br />
2012-5-17,41,32,24,-1,-4,-7,19,12,5,1008,1005,1001,16,16,16,29,13,45,0.00,0,,179<br />
2012-5-18,36,31,24,3,-3,-11,21,13,5,1004,1003,1001,16,16,16,42,17,50,0.00,1,,256<br />
2012-5-19,37,29,21,2,-3,-7,23,15,6,1010,1007,1005,16,16,16,23,7,32,0.00,2,,179<br />
2012-5-20,40,32,23,0,-3,-7,19,12,5,1010,1008,1006,16,16,16,21,7,24,0.00,1,,159<br />
2012-5-21,42,33,24,0,-5,-12,19,11,3,1010,1008,1005,16,16,16,26,8,34,0.00,0,,178<br />
2012-5-22,42,33,24,2,-5,-11,17,10,3,1008,1005,1002,16,16,16,35,13,47,0.00,1,,151<br />
2012-5-23,39,32,23,2,-2,-8,14,10,5,1003,1000,997,16,16,16,37,15,47,0.00,1,,214<br />
2012-5-24,37,31,24,8,4,2,27,21,14,1002,999,996,16,16,16,35,12,39,0.00,0,,185<br />
2012-5-25,35,29,23,8,4,-2,38,25,12,1003,1001,1000,16,16,16,45,20,61,0.00,0,,202<br />
2012-5-26,28,23,19,9,-3,-12,52,30,7,1012,1009,1003,16,16,16,34,17,42,0.00,0,,256<br />
2012-5-27,31,24,17,-3,-6,-11,25,16,7,1013,1011,1010,16,16,16,21,7,39,0.00,0,,292<br />
2012-5-28,34,27,19,-2,-7,-12,20,13,5,1013,1010,1008,16,16,16,19,7,29,0.00,0,,102<br />
2012-5-29,38,29,21,-3,-6,-9,18,12,5,1013,1009,1008,16,16,16,24,7,34,0.00,0,,115<br />
2012-5-30,38,30,22,1,-4,-12,24,14,4,1011,1008,1006,16,16,16,26,10,34,0.00,0,,247<br />
2012-5-31,43,33,23,2,-3,-7,23,14,4,1007,1004,1001,16,16,16,32,8,35,0.00,0,,248<br />
2012-6-1,44,35,26,3,-3,-9,20,12,4,1006,1003,1001,16,16,16,37,11,45,0.00,0,,200<br />
2012-6-2,42,34,26,2,-2,-5,21,14,6,1009,1005,1003,16,16,16,35,14,45,0.00,3,,265<br />
2012-6-3,39,32,24,3,-1,-5,23,15,7,1011,1007,1005,16,16,16,27,13,37,0.00,2,,152<br />
2012-6-4,39,32,24,4,1,-1,21,15,9,1010,1007,1004,16,16,16,26,11,34,0.00,0,,179<br />
2012-6-5,38,32,25,7,1,-11,27,17,6,1008,1005,1003,16,16,16,35,14,42,0.00,0,,272<br />
2012-6-6,38,31,23,1,-3,-11,22,14,6,1006,1004,1002,16,16,16,26,9,37,0.00,0,,237<br />
2012-6-7,39,32,24,3,-1,-4,23,15,7,1008,1006,1004,16,16,16,24,13,35,0.00,0,,203<br />
2012-6-8,40,33,25,3,-2,-8,24,15,6,1009,1005,1002,16,16,16,27,11,37,0.00,0,,245<br />
2012-6-9,39,32,24,1,-2,-4,21,14,7,1006,1003,1000,16,16,16,32,14,37,0.00,0,,178<br />
2012-6-10,39,32,24,3,-1,-2,17,13,8,1007,1005,1003,16,16,16,21,8,26,0.00,0,,98<br />
2012-6-11,40,33,26,6,1,-5,26,13,6,1011,1008,1006,16,16,16,24,12,35,0.00,1,,246<br />
2012-6-12,42,34,26,4,-1,-3,23,15,6,1010,1007,1004,16,16,16,26,10,32,0.00,1,,276<br />
2012-6-13,42,33,25,2,-2,-6,21,13,5,1006,1004,1001,16,16,16,26,11,37,0.00,1,,201<br />
2012-6-14,42,34,26,6,-1,-6,18,12,5,1008,1004,1001,16,16,16,37,15,50,0.00,0,,170<br />
